range / 1;coarse / 1;gain / 1;tune;freq / Hz;Urms(P32) / V;Urms(P40) / V;Urms(P53) / V;Urms(P58) / V;Uavg(P32) / V;Uavg(P40) / V;Uavg(P53) / V;Uavg(P58) / V
0;12;1633;3677;25166.027;2.424506;1.035051;0.08368199;0.08806352;-0.04314392;0.008294677;0.007541809;-0.08647156
0;12;2144;100;24722.862;0.06667207;9.9E+037;0.08341579;0.1113207;0.00221405;9.9E+037;0.006705627;-0.1103679
0;12;2144;611;24621.079;0.4070746;1.393055;0.09044483;0.1114408;-0.04013367;-0.01545166;0.007775879;-0.1105351
0;12;2144;1122;24601.171;0.7456056;1.392507;0.083032;0.121347;-0.03551819;-0.008762207;0.007257385;-0.119097
0;12;2144;1633;24540.081;1.087953;1.389212;0.09141218;0.1271372;-0.03959839;0.006488037;0.006923218;-0.1208194
0;12;2144;2144;24478.898;1.422901;1.38146;0.0868378;0.130648;-0.05672241;0.02474976;0.006772461;-0.1296489
0;12;2144;2655;24417.497;1.747205;1.362304;0.08248442;0.1311386;-0.0836792;0.04220703;0.007775879;-0.1303847
0;12;2144;3166;24355.961;2.060196;1.340659;0.06731099;0.1309127;-0.1182611;0.05919678;0.008227539;-0.1302675
0;12;2144;3677;24294.255;2.38976;1.332176;0.08310649;0.1377434;-0.1380603;0.06160522;0.007709045;-0.139398
0;12;2655;100;23834.837;0.06567091;9.9E+037;0.06875384;0.2316763;-0.003304322;9.9E+037;0.008093567;-0.2302675
0;12;2655;611;23740.245;0.4037483;1.687806;0.06896269;0.2326013;-0.07237487;0.1163879;0.007458191;-0.234214
0;12;2655;1122;23717.508;0.7432947;1.709754;0.08485478;0.2418525;-0.08441467;0.0955188;0.006839599;-0.2360535
0;12;2655;1633;23658.616;1.093751;1.727847;0.08463772;0.2487238;-0.0786621;0.05852783;0.007391357;-0.2472241
0;12;2655;2144;23599.637;1.444536;1.735161;0.08329542;0.246117;-0.05484924;0.01692261;0.007792663;-0.2479265
0;12;2655;2655;23540.441;1.789749;1.7275;0.0838018;0.250692;-0.01919739;-0.01899658;0.007106933;-0.2503511
0;12;2655;3166;23481.119;2.123749;1.712072;0.08903232;0.2514433;0.02675598;-0.0516394;0.005518494;-0.2506019
0;12;2655;3677;23421.623;2.454285;1.693914;0.08319899;0.2542949;0.07444824;-0.07779296;0.007591858;-0.2508696
0;12;3166;100;22947.129;0.06659055;9.9E+037;0.08397523;0.3313901;0.008341187;9.9E+037;0.007391357;-0.3318896
0;12;3166;611;22885.713;0.419549;2.106138;0.08431704;0.3377607;-0.05484924;0.04729126;0.007692261;-0.3329765
0;12;3166;1122;22834.189;0.7282618;1.992055;0.06696478;0.3419392;-0.1323077;0.2422742;0.008026733;-0.3385619
0;12;3166;1633;22777.486;1.077505;2.030987;0.06764802;0.3474412;-0.1389966;0.1817395;0.008578491;-0.3478093
0;12;3166;2144;22720.708;1.446391;2.075796;0.08185352;0.3480961;-0.0002008057;-0.05397949;0.005702209;-0.3485284
0;12;3166;2655;22663.725;1.707819;1.975155;0.083562;0.3506129;0.1709705;-0.2411377;0.006722412;-0.3502508
0;12;3166;3166;22606.619;2.046917;1.975047;0.08523036;0.3509347;0.2082947;-0.2363879;0.007424621;-0.3504849
0;12;3166;3677;22549.342;2.480048;2.044791;0.08247631;0.3510257;0.03464905;-0.06267578;0.007608642;-0.3506354
0;12;3677;100;22059.288;0.06769438;9.9E+037;0.08461401;0.4488771;-0.001725769;9.9E+037;0.006605225;-0.452475
0;12;3677;611;21999.056;0.391611;2.335674;0.0820168;0.4558054;0.01732422;-0.3723071;0.007056884;-0.4506856
0;12;3677;1122;21950.71;0.7556219;2.422154;0.08382375;0.4587241;-0.06648804;0.07344482;0.006772461;-0.4604849
0;12;3677;1633;21896.212;1.066676;2.32713;0.06792677;0.4646104;-0.2014716;0.3531775;0.008428039;-0.465
0;12;3677;2144;21841.635;1.421658;2.376857;0.08088349;0.4649307;0.07083618;-0.1779932;0.007190552;-0.465
0;12;3677;2655;21786.85;1.727345;2.321012;0.09636712;0.4691474;0.202074;-0.3204688;0.005903015;-0.4694315
0;12;3677;3166;21731.953;2.10104;2.343977;0.07060891;0.4703979;-0.2305688;0.2198657;0.008545226;-0.470184
0;12;3677;3677;21676.901;2.410744;2.301531;0.06709201;0.4701917;-0.3664215;0.321405;0.008344421;-0.469816
0;13;100;100;21165.344;0.06601308;0.06270044;0.08290906;0.214871;0.01316394;0.003531738;0.006705627;0.2102174
0;13;100;611;21080.3;0.4121369;0.08677037;0.06427886;0.2108321;-0.1050836;0.03625366;0.00864563;0.2102174
0;13;100;1122;21061.138;0.7401853;0.08145828;0.08320302;0.2102101;0.002541504;0.02314331;0.007408142;0.2097157
0;13;100;1633;21008.824;1.072597;0.08142543;0.08166126;0.2033219;0.02996643;0.02321045;0.007173767;0.2015552
0;13;100;2144;20956.433;1.415335;0.08796472;0.06762824;0.1965607;-0.2687628;0.0380603;0.007826232;0.198311
0;13;100;2655;20903.854;1.738145;0.079058;0.07947571;0.1922617;0.255719;0.01752563;0.007558594;0.1899666
0;13;100;3166;20851.164;2.083972;0.08426745;0.06843203;0.1903605;-0.1668225;0.03056885;0.008745727;0.1897157
0;13;100;3677;20798.317;2.42042;0.08562186;0.06909109;0.1874722;-0.2561206;0.0337793;0.00819397;0.1877592
0;13;611;100;20277.432;0.06557836;0.3982877;0.06747971;0.1242435;-0.007003357;0.06381275;0.007307739;0.1224916
0;13;611;611;20182.567;0.3996654;0.3970796;0.08648854;0.1114438;0.008026733;-0.04688965;0.006923218;0.1090301
0;13;611;1122;20177.599;0.7452538;0.3975645;0.06851751;0.1011109;-0.13505;0.05317749;0.008745727;0.0991806
0;13;611;1633;20127.482;1.069009;0.3950734;0.08246617;0.09962975;0.09812744;-0.0479602;0.007290954;0.09861206
0;13;611;2144;20077.291;1.421001;0.3958649;0.07112568;0.09937598;-0.2305688;0.05384643;0.008946533;0.09866226
0;13;611;2655;20026.917;1.752016;0.3946125;0.08494736;0.09711386;0.2181274;-0.05545166;0.007642212;0.09389633
0;13;611;3166;19976.432;2.117089;0.3959663;0.06889234;0.08340777;-0.3700336;0.06401367;0.008511658;0.08259201
